gate_count,replica,circuit_seed,mode,circuit_fingerprint,n_h_slots,n_t_slots,n_cnot,n_gates_total,n_quantum_params_if_vqc,r2_holdout,rmse_holdout,mae_holdout,pearson_holdout,spearman_holdout,r2_val,best_val_rmse,train_time_s,epochs_run,n_trainable_total,n_quantum_params
3,5,1056,fixed_e2e,"h:2|cx:2,3|cx:1,4",1,0,2,3,1,0.47709405422210693,0.7154650463600711,0.5575754642486572,0.6925621032714844,0.6794066282034976,0.9840057492256165,0.1271719513815681,215.30964922904968,15.0,5599.0,0.0
3,5,1056,param_vqc,"h:2|cx:2,3|cx:1,4",1,0,2,3,1,0.44637006521224976,0.7361840630815503,0.5751716494560242,0.6734299659729004,0.6634934509431423,0.9522601366043091,0.2197101417339634,135.99346828460693,15.0,866.0,1.0
3,6,1057,fixed_e2e,"cx:4,1|t:1|h:3",1,1,1,3,2,0.4695008397102356,0.7206410120221531,0.5635949373245239,0.6862666606903076,0.6734912422646061,0.9849994778633118,0.12315811699413043,215.04652309417725,15.0,5599.0,0.0
3,6,1057,param_vqc,"cx:4,1|t:1|h:3",1,1,1,3,2,0.4678158164024353,0.7217846124381372,0.5590347647666931,0.6880328059196472,0.6776596197211182,0.9525195956230164,0.2191122835705226,137.41373777389526,15.0,867.0,2.0
3,7,1058,fixed_e2e,h:1|h:0|t:3,2,1,0,3,3,0.4690042734146118,0.7209782269188862,0.5616368055343628,0.6869720816612244,0.6754369441326489,0.9832337498664856,0.13020486270729648,210.14660096168518,15.0,5599.0,0.0
3,7,1058,param_vqc,h:1|h:0|t:3,2,1,0,3,3,0.4730944037437439,0.7181961164461377,0.5612626671791077,0.6897903680801392,0.6786312795614766,0.9632085561752319,0.19287811459667545,140.45330786705017,15.0,868.0,3.0
3,8,1059,fixed_e2e,"h:4|h:4|cx:3,5",2,0,1,3,2,0.4702596068382263,0.7201254992914546,0.5637112259864807,0.6895111203193665,0.677940480792007,0.9794572591781616,0.1441248774002758,210.9084610939026,15.0,5599.0,0.0
3,8,1059,param_vqc,"h:4|h:4|cx:3,5",2,0,1,3,2,0.46690666675567627,0.7224008882249925,0.5628846883773804,0.6853015422821045,0.6713909708089808,0.9590067267417908,0.20359448133441208,142.22430992126465,15.0,867.0,2.0
3,9,1060,fixed_e2e,h:0|h:1|h:0,3,0,0,3,3,0.46530860662460327,0.7234828036728919,0.5647286772727966,0.6902384757995605,0.6794746805399413,0.9807959794998169,0.13934955758146716,209.93874597549438,15.0,5599.0,0.0
3,9,1060,param_vqc,h:0|h:1|h:0,3,0,0,3,3,0.4684280753135681,0.7213693243056952,0.5619611740112305,0.6875877380371094,0.6731828615968481,0.9640316963195801,0.19070823056248312,146.64564394950867,15.0,868.0,3.0
3,10,1061,fixed_e2e,t:2|h:3|t:0,1,2,0,3,3,0.4736115336418152,0.7178435622234082,0.5593053698539734,0.6898077726364136,0.6783398467935995,0.9806391596794128,0.1399173215383961,212.79754996299744,15.0,5599.0,0.0
3,10,1061,param_vqc,t:2|h:3|t:0,1,2,0,3,3,0.46372759342193604,0.7245516689797014,0.563510537147522,0.6866251230239868,0.675196829131543,0.9608508944511414,0.19896211175343256,143.3529601097107,15.0,868.0,3.0
3,11,1062,fixed_e2e,"h:2|t:0|cx:0,4",1,1,1,3,2,0.47203874588012695,0.7189152154527194,0.5606387257575989,0.6889886856079102,0.6780286691297774,0.9866827130317688,0.11604250394232606,218.26801300048828,15.0,5599.0,0.0
3,11,1062,param_vqc,"h:2|t:0|cx:0,4",1,1,1,3,2,0.4572226405143738,0.7289328109301257,0.5673069357872009,0.6809048652648926,0.6695439815689839,0.9685853719711304,0.1782278817860856,132.5517029762268,15.0,867.0,2.0
3,12,1063,fixed_e2e,"h:5|t:3|cx:4,5",1,1,1,3,2,0.46589261293411255,0.7230876150663538,0.5616734623908997,0.6845390796661377,0.673139164459184,0.9852757453918457,0.12201876123999139,210.18309092521667,15.0,5599.0,0.0
3,12,1063,param_vqc,"h:5|t:3|cx:4,5",1,1,1,3,2,0.450519859790802,0.7334198116839995,0.5693811774253845,0.6772972345352173,0.6664377870712136,0.9557505249977112,0.21152599681880416,132.0259771347046,15.0,867.0,2.0
3,13,1064,fixed_e2e,h:0|t:1|t:1,1,2,0,3,3,0.47396713495254517,0.7176010651469964,0.5616739988327026,0.6898080706596375,0.6801955114620667,0.9861546158790588,0.11832116064055445,204.23596000671387,15.0,5599.0,0.0
3,13,1064,param_vqc,h:0|t:1|t:1,1,2,0,3,3,0.45853084325790405,0.728053828678107,0.5691199898719788,0.6800413727760315,0.6675022692555337,0.9555995464324951,0.21188655797834374,134.06035685539246,15.0,868.0,3.0
3,14,1065,fixed_e2e,"cx:0,2|cx:4,0|h:3",1,0,2,3,1,0.4774627685546875,0.715212742360103,0.5578500628471375,0.691800594329834,0.6805716126192776,0.9853731393814087,0.1216144595121724,207.8070149421692,15.0,5599.0,0.0
3,14,1065,param_vqc,"cx:0,2|cx:4,0|h:3",1,0,2,3,1,0.4634363651275635,0.7247483770504295,0.5640069842338562,0.6830747127532959,0.6700719501311392,0.9557145833969116,0.21161179145819653,1205.0693409442902,15.0,866.0,1.0
3,15,1066,fixed_e2e,"cx:4,5|t:3|cx:4,2",0,1,2,3,1,0.46743154525756836,0.7220451451714425,0.565564751625061,0.6850554347038269,0.6747666132114964,0.9811384677886963,0.13810128365456303,1066.117700099945,15.0,5599.0,0.0
3,15,1066,param_vqc,"cx:4,5|t:3|cx:4,2",0,1,2,3,1,0.4602527618408203,0.726895286887047,0.5681037306785583,0.6828169822692871,0.6721480797181931,0.9516336917877197,0.2211470317328947,135.69408583641052,15.0,866.0,1.0
3,16,1067,fixed_e2e,h:3|h:5|t:3,2,1,0,3,3,0.46867644786834717,0.7212007453535886,0.565597653388977,0.687596321105957,0.6767821451677187,0.9807474613189697,0.13952549277471313,215.2660562992096,15.0,5599.0,0.0
3,16,1067,param_vqc,h:3|h:5|t:3,2,1,0,3,3,0.4828947186470032,0.7114856409405301,0.5564128160476685,0.6971253156661987,0.6864545486631529,0.9645962715148926,0.18920570616804772,146.36853194236755,15.0,868.0,3.0
3,17,1068,fixed_e2e,t:1|t:5|t:5,0,3,0,3,3,0.47601932287216187,0.7161999121390265,0.5591287612915039,0.6927076578140259,0.6808700852840281,0.985715389251709,0.12018312024801783,210.80590724945068,15.0,5599.0,0.0
3,17,1068,param_vqc,t:1|t:5|t:5,0,3,0,3,3,0.4669860005378723,0.722347090290721,0.5671967267990112,0.6877244710922241,0.6747432772570455,0.9660872220993042,0.1851788233424758,139.04181504249573,15.0,868.0,3.0
3,18,1069,fixed_e2e,"cx:5,1|cx:4,3|cx:0,4",0,0,3,3,0,0.46882957220077515,0.7210968100171861,0.5634453892707825,0.6867486238479614,0.6772613440739237,0.9862605333328247,0.11786762997295215,215.74644804000854,15.0,5599.0,0.0
3,18,1069,param_vqc,"cx:5,1|cx:4,3|cx:0,4",0,0,3,3,0,0.4548414349555969,0.7305300273794467,0.5708677172660828,0.6796622276306152,0.6658181694812426,0.9734678268432617,0.16379332031276317,125.01687026023865,15.0,865.0,0.0
3,19,1070,fixed_e2e,t:0|t:5|t:1,0,3,0,3,3,0.47405844926834106,0.7175387667108591,0.5599393844604492,0.6896927356719971,0.6801475595719148,0.984691858291626,0.12441448079851816,209.7865071296692,15.0,5599.0,0.0
3,19,1070,param_vqc,t:0|t:5|t:1,0,3,0,3,3,0.45940858125686646,0.7274634814846505,0.5663941502571106,0.6817916631698608,0.6713608675462558,0.9591272473335266,0.2032948847251,140.85908603668213,15.0,868.0,3.0
3,20,1071,fixed_e2e,"h:3|cx:0,4|t:0",1,1,1,3,2,0.46182239055633545,0.7258375920003989,0.5687252879142761,0.6861790418624878,0.6766628580262513,0.9845004081726074,0.12519012833215348,212.29304385185242,15.0,5599.0,0.0
3,20,1071,param_vqc,"h:3|cx:0,4|t:0",1,1,1,3,2,0.4491448402404785,0.7343368926205165,0.5727633237838745,0.6759616136550903,0.6653952423433125,0.9493549466133118,0.22629659768242766,137.47857689857483,15.0,867.0,2.0
